Yayasan,Alamat,Telp
Ponpres AL MUKHTAR,Jl. Eyang Tirtayasa Sukamahi Kec.Pamanukan,
Pondok Pesantren AL MASTHURIYAH,Kp. Tipah Ds.Cibalong Keler Kec. Cisaat,"0266 4241419, 0266 225880"
Pondok Pesantren As Syarofiyah,"Kp. Gelarsari Rt. 01, Rw 03 Desa Wangun Jaya",
Pondok Pesantren Salafi Al Intizom,"Jl. Pajajaran 1 RT.14/04, Desa Babakan Kec. Cisaat Sukabumi","0266 246955, 0812 8919185"
Lembaga Tahfizh Al Quran dan Ilmu Islam AT TAKWIN,Jl. Raya Cibadak-Nagrak No. 88 Kab. Sukabumi,
Yayasan Lembaga Pendidikan Islam Pondok Pesantren,Jl. Pelabuhan II Km 8 Tegallega Kec. Lembursitu Kota Sukabumi.,0266-212941
YPSDI Amal Insani,Jl. Sindangsari Lembur Pasir No. 100 Kota Sukabumi,
Pondok Pesantren Modern AN NUR MULTAZAM INDONESIA,"Jl. Hegarmanah No.3 RT01/01 Kel.Situ Kec. Sumedang Utara (0852 21501777, 0813 20187655)","0261 2700099, 204077 Fax. 0261 210024"
Pondok Pesantren ROUDLOTUL FALAH,Mekarjaya RT 01/07Desa Cileles Kec.Jatinangor,022 91644035
Pondok Pesantren AL IKHLAS,"Desa Setiawangi, RT.03/02, Kec. Jati Waras",
Pondok Pesantren MAFTUHUL FAUZI,"Kp. Badak Paeh, Desa Argasari, Kec. Leuwisari, Tasikmalaya",
Pondok Pesantren MIFTAHUL HUDA,"PO BOX 1,Desa Manonjaya,Kec Manonjaya","0265 380170, 0811 212350"
Yayasan Karya Insan Jaya (YASKIJ),"Jl. Pondok Sadang No.86, Cinunuk, Cileunyi Bandung",7809421
Lembaga Binaul Ummah Lembang,"Jl. Lapangan Gunung Sari 113, Lembang",
Yayasan Cahaya Umat Bekasi,"Desa Kedung Waringin, Kec. Waringin Kab. Bekasi",Tel. 021 98760976  HP  081511116396
Pondok Pesantren Dar El Shofwah,"Pisangan Desa Karangpatri, Kec.Pebayuran Kab.Bekasi; Tlp. 0813-14880003",021-98182583 / 085710157265
Yayasan Mahasina,"Jl.Majid No.50 RT.01/07 Kemang, Jatiwaringin, Pondok Gede",021-8465988
Pondok Pesantren Terpadu IQRO,"Kelurahan Jatimakmur,  Kec. Pondok Gede",021-84970404
Pondok Pesantren Al Barokah,"Desa Sukarasa,  Kec. Tanjung sari",HP  081 8064 20144
Pondok Pesantren Al Mukhlishin,"Jl. H. Usa/PRU Ciseeng, Kec. Parung Kab. Bogor",0251-541489
Yayasan Pendidikan Pondok Pesantren JAMUL ZAWAMI,"Desa Parakan Muncang, Kec. Nanggung",
Yayasan Pengembangan SDM DINAMIS,"Desa Pasirmuncang,  Kec. Caringin",0251-220265 / 081314206499
Yayasan HIDAYATTUDIEN Sindangjaya,"Dusun Sindangjaya, Desa Sindangjaya, Kec.Mangunjaya, Kab.Ciamis;",0265-651028
Pondok Pesantren Miftahul Ulum,"Jl. Panamun No. 150 Dsn Bangunsirna, Desa Sukamaju Kec.Baregbeg",
Pondok Pesantren NURUL AMAL,"J. Cimaragas, Desa Bojong Mengger, Kec. Cijeungjing, Kab. Ciamis",
Pondok Pesantren NURUL HUDA,"Pasirresik Dusun Gudang Desa Kawunglarang, Kec.Rancah",
Pondok Pesantren SABILUNNAJAT,"Desa Cileungsir,  Kec. Rancah",
Pondok Pesantren Al Jihad,"Kp. Panyairan Desa Cibadak, Kec. Cibeber, Kab. Cianjur",0263-2336693
Pondok Pesantren ASSALAFIYAH,"Desa Cibaregbeg,  Kec. Cibeber",0263-2336707
Yayasan MIFTAHUL HUDA,Kp. Tegalcaang Desa Sukamaju Kec Cibeber,0263 2336552
Pondok Pesantren Al Istiqomah,Desa Mertapada Kulon Kec. Astanajapura,
Yayasa Pendidikan Islam AL MUHAJIRIN,"Desa Cilengkranggirang, Kec. Pasaleman, Kab. Cirebon",81320345339
Pondok Pesantren AL MUJAHARIYYAH,"Gintung Ranjeng Kec. Ciwaringin, Kode Pos 45167 Kab. Cirebon;",0231 911 4233
Pondok Pesantren AL SHOHWAH,"Desa Dompyong Kulon Campedak, Kec.Gebang Kotak Pos 45191, Kab.Sirebon;",0231-338910
Pondok Pesantren Hikmatul Ummah,"Desa Sedong Kidul, Kec. Sedong, Kab. Cirebon",
Pondok Pesantren MIFTAHUL ULUM,"Desa Sidawangi,  Kec. Sumber, Kab.Cirebon",HP   085 295 685 562
Pondok Pesantren NURUL HUDA,"Desa Asem,  Kec. Lebah Abang",HP  087 829 570 995
Pondok Pesantren SAFINATUL HIDAYAH (SAHIDA),"Desa Cipeujeuh Wetan, Kec. Lemahabang Kab. Cirebon",
Pondok Pesantren AL ISTIQOMAH,Desa Kanggraksan  Kec. Karangaksan,
AL NAHDLAH Islamic Boarding School,"Jl. Serua Bulak No. 1 Pondok Petir, Sawangan Depok,",Fax. 021-74708014
Yayasan RUHAMA,Jln. Ir. Juanda  Komplek Bukit Cengkeh Berbunga Depok,021-771 7809
Yayasan Pendidikan Pondok Pesantren Quran QIROATUS,"Desa Limbangan Timur, Kec.Bi.Limbangan, Kab.Garut","0262-432025, 431138"
Yayasan Pondok Pesantren  Islam Al Irsyadi,"Desa Perkandangan Jaya, Kec. Indramayu",0234-272626
Lembaga Islam Ar Ruhama,"Desa Bojong,  Kec. Cilimus",
Pondok Pesantren Sirojul Ummah,"Desa Cidahu,  Kec. Pasawahan",HP  081 222 082 009
Lembaga Pendidikan Pondok Pesantren AL BIRR,"Desa Gandu,  Kec. Dawuan",HP   081 222 234 79
Majelis Talim Pendidikan Al Quran TUHFATUL ATHFAL,"Desa Tajur,  Kec. Cigason",
Yayasan ASSALAM Pondok Pesantren Salafiyah AL HIKA,"Desa Cigaleuh,  Kec. Lemahsugi",HP  0813 24051834
Yayasan BABUSSALAM Bantarujeg,"Jln Raya Timur, No. 18  Bantarujeg Kec. Bantarujeg.",HP  081 320 786 112
Pondok Pesantren Darul Ulum PUI,"Kelurahan Majalengka Kulon, Kec. Majalengka",0233-284153 / HP  081320592881
Yayasan DURRAHMAN Cigayam,"Desa Ranjikulon,  Kec. Dawuan",0233-882285
Yayasan INSAN MANDIRI,"Desa Babakan Manjeti,  Kec. Sukahaji",0233-8285085
Yayasan IZATUL UMMAH,Desa/Kecamatan Leuwimunding,HP  085659749263
Yayasan Pondok Pesantren NURUL BAROKAH,Desa Kencana Kecamatan Cikijing,0233-319589
Yayasan NURUL FALAH,"Desa Sadawangi,  Kec. Lemahsugih",
Pondok Pesantren DARUS SUADA,"Kp. Duren, Desa Cijaya, Kec.Campaka, Kab. Purwakarta",
Yayasan AL MUBAROKAH,Desa Jatimulya   Kec. Compreng,
Yayasan Pendidikan Islam AL UKHUWAH,"Desa Pagaden,  Kec. Pagaden",0260-451014
Yayasan ALI BIN ABI THALIB,"Desa Sindangsari, Kec.Cikaum, Kab.Subang",0260-460562
Yayasan Pontren AS SALAM,"Jl. Raya Kebondonas No. 20, Kec.Pusakanegara Kab. Subang,",0260-540454
Pondok Pesantren DAARUS SYIFA,"Jl. Pusaka Km 9,6 Compreng No. 38, Subang",0260-550880
Yayasan Pendidikan Muslimat NU Bina Bhakti Wanita,"Jl. Desa Kertajaya, Dsn. Kamalsari RT.14/03 Desa Kertajaya Kec. Binong, Kab. Subang",0260-552897
Pesantren PERSATUAN ISLAM 51 Pamanukan,"Desa Pangandangan, Kec.Pamanukan, Kab.Subang",0260-554068
Pondok Pesantren AL MUNAWARIYYAH,"Jl. Padjajaran II Km 08 Karanggantung, RT.27 RW.06 Gunungguruh,",0266-321753
Yayasan Al Quroba,"Jl. Printis kemerdekaan, Kp. Lebak Picung, Desa Lebaksari Parakansalak, Sukabumi",
Yayasan Pendidikan Islam BINA BANGSA,"Jl. Cikawung, Desa Nyalindung, Kec. Nyalindung Kab. Sukabumi",0266-480083
Pesantren Yayasan Pendidikan Islam ANNIDZOM,"Kp. Karajeun, Desa Curugluhur, Kec. Sagaranten Kab. Sukabumi",
Yayasan LEMBAH ROBBANI,"Desa Hegarmanah, Kec. Warungkiara",HP  081315150768
Yayasan MIFTAHUSSAADAH (YASMIDA),"Desa Cileungsing, Kec. Cikakak, Kab. Sukabumi",0266-6440398
Yayasan MUSLIM CENDIKIA,Jl. Raya Cangehgar II No.119 Pelabuhan Ratu Kab. Sukabumi,0266-6441586
Yayasan NURUL QURAN,"Desa Cidadap, Kec. Simpenan, Kab. Sukabumi",HP  085846580011
Yayasan Pendidikan Islam SINAR,"Kp. Gandasoli, Desa Cipurut, Kec. Cireunghas, Kab. Sukabumi",211674
Yayasan USWATUN HASANAH,"Kp. Parubaliung, Desa Cijalingan, Kec. Cicantayan Kab. Sukabumi",0266-6248327
Yayasan Pendidikan dan Dakwah AL BINA INDONESIA,"Desa Ambit,  Kec. Situraja",0813 2152 9204
Pondok Pesantren AL FAQIEH,"Perum BKI Blok D3 Desa Citimun, Kec.Cimalaka",HP  0813-20638697
Yayasan Pondok Pesantren NURUL IMAN,"Desa Sukamana,  Kec. Cigalontang",
Yayasan Islam AL ITTIHAD,Jl.Letnan Sule Setianegara No.14 Kota Tasik Malaya,
Pondok Pesantren MIFTAHUL ULUM,"Jl. Gandok II Bungursari Indihiang, Kota Tasikmalaya",HP   085221464815
Pondok Pesantren NUR ASSAADAH,"Jl.Gubernur Swaka,Kel.Sambong Jaya,Kec.Mangkubumi Kota Tasikmalaya",0265-346564
Pondok Pesantren RAUDLATUL MUTAALIMIN,"Dusun Cilendek, Kel.Kota Baru, Kec.Cibeureum","0265-336364, 314749"
Ponpes Baiturrosyad Al Qurani,"Desa Maruyung, Kec. Pacet, Kab. Bandung",
Yayasan Istiqomah Nurul Hasan,Desa Pangauban Kec. Pacet,
Yayasan Pondok Pesantren Darul Falah,Jl. Raya Cihampelas No. 45 Kec. Cihampelas,
Yayasan KH Ibrahim Yaqub PP Roudlatul Huda II,Jl Pengairan No 15 Rt.5/5 Kel. Bojong Kantong Kec Langen Sari,
Yayasan Uswatun Hasanah PKBM Lestari,"Jl. Pegadaian, RT.2/02, Desa Hegarsari, Kec. Pataruman",
LPI Attaufiqiyah,"Desa Sukajadi, Kec. Sukakarya",
SMP Islam Terpadu IQRO Ponpes Ibnu Abbas,"Jl. Rawa Wetan RT. 007/02, Kel.Jati Melati, Kec.Pondok Melati",
Ponpes Al Kautsar,"Kp. Lebakpasar RT. 4/02, Desa Nambo, Kec. Kelapanunggal",
Yayasan Lazmara,"Jl. Anggur Raya, No. 11, Perumnas Parung Panjang",
Yayasan Madina Sejahtera,Jl. K.H. Abdul Hamid Km. 3 Situ Ilir Cibungbulang,
Yayasan Nurul Walidin Al Banjari,Jl Raya Parung Kp. Lebak Wangi RT. 02/02 Desa/Kec. Parung,
Yayasan Pondok Pesantren Raudhatus Syifa,Kp. Cibogo II RT/RW 03/03 Desa Cipayung Kec. Megamendung,
Yayasan Riyadul Anwar,Kp. Bantar Jaya RT. 05/01 Desa/Kecamatan Leuwisadeng,
Yayasan Ulul Fikri,"Kp. Karet, Desa Tajurhalang, Kec. Tajurhalang",
LPI. Al Munawar Ponpes Riyadlul Muta Alimin,"Jl. Gegempalan, No. 1 Cikoneng",
Yayasan Lembaga Pendidikan Ponpes An Nur,Jl. KH. Zakaria RT. 004 RW. 15 Dusun Cidewa Dewasari Cijeungjing,
Pondok Pesantren Daarul Muawanah,"Jl.KH.Muh. Muchtar,Pabrik RT 14/07,Cihalarang,Cijeungjing",
Yayasan Ponpes Miftahussalam,"Cijaringau, Desa Sindangsari, Kec. Cimerek, Ciamis",
Yayasan Sabilissalam,"Jl. Sukadana Km.3, Desa Pusaka negara, Kec. Baregbeg, Ciamis",
Pondok Pesantren Al Muhajirin Yusufiyah,Jl. Pelabuhan Jayanti Desa Cidamar Kecamatan Cidaun,
Pondok Pesantren Miftahul Ulum,Desa Hegarmanah Kec. Bojong Picung,
Pondok Pesantren Al Amanah Al Djatira,Desa Babakan Lor Kecamatan Ciwaringin,
Pondok Pesantren Al Arafat,"Jl. Tubagus Serit Blok Cirago Desa Gintunglor, Kec. Susukan",
Ponpes Al Furqon,Jl. Raya Curugwetan 12 A Susukanlebak,
Pondok Pesantren Al Khairiyyah,"Jl. Fatahillah No.63 - 64 Watubelah, Sumber",
Ponpes Annur,Jl. Ki Warsiki No. 21 Desa Kedungdalem Kec. Gegesik,
Ponpes Assalafy Al Muhajirin,Jl. Samiaji No. 08 Desa Gegesikkidul Kecamatan Gegesik,
Yayasan Panti Asuhan Al Amanah,"Jl. Sukatani No. 15, Kel. Bedahan, Sawangan",(0251)8605038 Fax: (021)32147912
Yayasan Pondok Pesantren Al Basyariyah,Sirnajaya Kecamatan Cisurupan,
Ponpes Al Hidayah,"Jl. Raya Kamojang, Kp. Pajagan, Desa/Kec. Samarang, Garut",
Yayasan Pendidikan Islam Annur Pondok Pesantren An,Kp. Karanganyar RT. 06 RW. 01 Desa Mekarmulya Kecamatan Malangbong,
Pondok Pesantren Modern Darul Maarif,Jl. Raya Kaplongan No. 28 Karangampel,
Yayasan Pondok Pesantren Babussalam Al Islamiyah,"Desa Cengkeh I,Ciwaringin, Kecamatan Lemahabang Wadas",
Yayasan Pondok Pesantren Ar Rasyid,Jl. Raya Subang KM. 1 Rt.8/2 Desa Paninggaran Kec.Darma,
Majelis Talim Al Hamdu,"Dsn. Langensari Rt.7/2, Desa Ranjikulon, Kec. Kasokkandel",
Ponpes Al Quran Al Hidayah,"Desa Wado Wetan, Kec. Banturujeg, Majalengka",
Pondok Pesantren Baitul Istiqomah,Blok Mayasari No. 46 RT. 08 RW. 04 Desa/Kec.  Cikijing,
Yayasan Nurul Huda Pondok Pesantren Nurul Falah,Dusun Selasa Desa Jatitengah Kecamatan Jatitujuh,
Yayasan Nurusyyahid,Desa Jatitengah Kecamatan Jatitujuh,
Pesantren Persatuan Islam 155,"Jln. SDN. Martadinata, Bojong Tengah RT. 03/I Kec. Pusakajaya",
PPIS Al Manar,"Jl. Garogol RT. 08/04 Desa Mekarwangi, Kec. Pagaden",
Pondok Pesantren Raudlatul Mutaalimin,"Kp. Jungklang RT. 12 RW. 04 Desa Mulyasari, Kec. Binong",
Yayasan Al Farhan,"Kp. Cimahigirang Rt.19/6, Desa Cikauripan, Kec. Kadudampit",
Yayasan Al Ghazali,Jl. Raya Sukabumi - Cianjur Km. 10 Kec.Sukalarang,
YPI Al Mansyuriyah,"Jl. Bantar Panjang, Desa Tamanjaya, Kec. Ciemas",
Pondok Pesantren Al Masudiyah,Jl.Raya Sukabumi Segaranten Km.26 Lebak Nangka Desa Kertaangsana Kec.Nyalindung,
Yayasan Al Mujahid,"Jl. Pelabuan II Km. 10, Kp. Cikadu, Kebinmanggu, Nagrak",
Yayasan Ar Raudhah,Jl. Terminal Baru Desa Swakarya,
Pondok Pesantren At Tijaarah,Jln Cisarua Kp. Windu Sakti RT. 01/01 Citamiang Kec.Kadudampit,
Yayasan Attazkia,Jl.Pasir Manyar Rt.19/6 Desa Purabaya Kec. Purabaya,
Yayasan Bina Ikhwana Sejahtera Mandiri,"Jl.Gunungsari Rt.3/9, Desa Cikarang, Kec. Cidolog",
YPI Darul Furqon,"Desa Tanjungsari Rt.2/7, Jampang Tengah",
YPI Muhammad Kholil Madrasah Diniyyah Tamhidiyyah,Jl.Suryakencana Km.4 Desa Gunung Jaya Kecamatan Cisaat,
Ponpes Riyadhul Huda,Dsn Babakan Bandung Ds. Suturaja Utara Kec. Situraja,
Yayasan Al Futuh,"Jl.Raya Cikatomas Rt.10/3 Desa Lengkong Barang, Kec. Cikatomas",
Ponpes Al Mukhtar,"Kampung Padakaria Rt.10/2,Desa Linggasima,Kec. Sariwangi",
Yayasan Al Wustho,"Kampung Kalawagar,Rt.1/12 Desa Singasari, Kec. Singaparna,",
Yayasan As Salam,"Perumahan Sawati Mas Rt.5/8 Desa Cipondoh, Kec. Sukaresik,",
Yayasan Daarul Hadist,"Dsn. Babakan, Desa Ciampanan, Kec. Cineam",
Yayasan Darul Falah,"Jl.Cikasungka,Rt.3/1 Desa Mulyasari, Kec. Salopa",
Ponpes Modern Miftahul Hidayah,"Kp. Bendungan, Desa/Kec. Padakembang,",
Yayasan Pendidikan Agama Islam (YPAI) Pondok Pesan,Jl.Puspamukti Rt.10/5 Desa Puspamukti Kec.Cigalontong,
Yayasan Pondok Pesantren An Nur,"Kp. Babakan Rohmat Rt.1/3 Desa Telagasari, Kecamatan Kawalu",
Yayasan Daarul Qowaanin,Jl.Sumelap Rt.4/6 Kel.Kota Baru Kec. Cibeureum,
Yayasan Tarbiyatul Islamiyah Darrussaadah,Jl.Purbaratu Rt.7/3 Kel.Purbaratu Kec.Purbaratu,
Yayasan Ummu Hahibah,"Kp. Curug RT o2 RW 09 Ds. Bojongkoneng, Kec. Babakan Madang",
Yayasan Nashrul Ulum,Desa Palimanan Barat Kec. Gempol,
Yayasan Al Amanah Ilahiyah,Komp.Permata Banjaran Blok D No.27 Ds.Sindang Panon Kec.Banjaran,0812 2017 209
Yayasan Al Furqon,Kp. Pasirpari RT02 RW03 Desa Pangaupan Kec Pacet,
Yayasan Bina Insan Mulya Paciba,Jl. Kopeng Pertigaan Pasar Cibereum RT04 RW04 Desa Panyocokan Kec. Ciwidey,
Yayasan Fauzan Assalafi Ponpes Fauzan,Kp.Fauzan Rt/Rw 02/02 Ds.Cijenuk Kec.Cipongkor Kab.Bandung Barat,022 70927523
"Yayasan AL Badar, Pondok Pesantren Al Ijazie",Kampung Dawuan Rt.03/Rw.05 Desa Cijenuk Kec. Cipongkor,_
Yysn Madinatulfurqoon Cab. Bandung,Jl. Kolonel Masturi No. 481 Kp. Kubang Rt. 02/14 Desa Jambudipa Kec. Cisarua Kab Bandung Barat,082819001260      085294960466
Yayasan Sadariyah,Jl. Nyampur No. 139 RT. 02/14 Desa Langensari Kec. Lembang,(022) 70350001
Yayasan Tunas Mulia Bantar Gebang (YTMB),Jl.Pangkalan 2 Rt.002 Rw 04  Kel.Sumur Batu Kec.Bantar Gebang,0813 105 12635
Yayasan Peduli Anak dan Lingkungan Permata Hati Um,"Jl. H. Taqwa No.105 Jatimakmur, Pondok Gede Kab. Bekasi",021 - 8488744
Yayasan Muntada Ahlil Quran,Jl.Raya Jatiwaringin No.336 RT.01/06 Jati Cempaka-17411 Pondok Gede,(021)70587271
Yayasan Al Mimbar,Ruko Niaga Kalimas 2 Blok A-10 Jl.KH.Noer Ali-Inspeksi Kalimalang Desa Setiadarma Kec. Tambun Selatan,0813 1121 7390
Imdaadulummah Foundation,Kp.Cangkring 02/09 Desa Jayalaksana Kec.Cabangbungin,0815 701 2349
Yayasan Insan Aulia Mandiri,Komp.Pendidikan Insan Aulia Jl.An Nahl No.1 Kec.Mustika Jaya,021 8254305
Pondok Pesantren Nurul Hidayah Tugu Selatan,Jl. Sindang Subur Rt.01/Rw.14 Desa Tugu Selatan Kec. Cisarua Kab. Bogor,87870645532
Yayasan Al Bunyan,Jl.Ama Sandi Kel.Cikaret Kec.Bogor Selatan,0251 7537816
Yayasan Miftahul Huda,Jl.Letkol Atang Sanjaya No.111 A Desa Bantar Jaya Kec.Rancabungur,0852 8057 0635
Yayasan Kesejahteraan Pendidikan Islam (YAKPI),Jl.Manunggal VII Kp.Babakan Desa Cibalung Kec.Cijeruk,0813 1863 1717
Yayasan Al Ihsan,"Jl. Agropolitan Cengal Km2,5 Karacak Leuwiliang",
Yayasan INSTY,Komplk PPI (Parung Paremata Indah) Blok E No.25 RT06 RW12 Ds. Kalisuren Kec. Tajurhalang,
Yayasan Pendidikan Sosial Agama Ibnu Kasyfil Haq,Dusun Sindanghayu Rt.18 Rw.05 Kec. Banjarsari Kab. Ciamis,0265 - 651803
"Yayasan Manaarul ""Uluum",Dusun Cikarang Desa Sadanarya Kec. Sadanarya Kab. Ciamis,0265 775756
Yayasan Daarul Falaah,Desa Handapherang Kec. Cijeunjing Kab. Ciamis,0265 776282
Pondok Pesantren Riyadlul Uluum,Dusun Sindangkerta Desa Hujungtiwu Kec. Panjalu,-
Yayasan Nurul Huda,Desa Sindang Mukti Kec.Panumbangan,-
Ponpes Al Hikmah,Kp.Serepong Rt.02/Rw.12 Desa Babakan Karet Kec.Cianjur,0819 1242 2521
Ponpes Nurul Iman Mandiri,Jl.Rya Cikondang kec.Bojongpicung,081 906 509 328
Ponpes Hawa Littalimil Quran,Kp. Ciurey RT4/18 Desa Cipanas,085921976447
Yayasan Al Ukhuwwah,Desa Ciawi Gajah Kec. Beber,
Pondok Pesantren Attarifiyyah,"Pamijen Sampih,Susukan Lebak","(0231)637987, 081324292752"
Yayasan Sekolah Alam Depok,Jl.Bungsan No.80 Kel.Bedahan Kec.Sawangan,021 994477815
Pondok Pesantren Miftahul Khoirot,Manggungjaya RT. 01/04 Cimalaya Kulon Kab. Karawang,02643405359 08561238887 081511439490
Ponpes At-Thohariyah,Kp.Gempol Girang Kec.Telung Jambe Timur,
Yayasan Al Kautsar,Desa Cileuley Kec. Cigugur,
Yayasan Pondok Pesantren Riyadlul Huda,"Jl.Kebudayaan,Kel.Winduhaji,Kec.Kuningan",(0232)874165
Yayasan Pondok Pesantren Riyadlus Salam,"Ds.Babakan Reuma,Kec.Sindangagung",
Pondok Pesantren Salafiyyah Tarbiyyatul Huda,Ds.Sindang Kecamatan Lebakwangi,081324172694
Lembaga Islam Miftahul Huda,Dsn Manis Desa Garajati Kec.Ciwaru,0817 0982378
Ponpes Hidayatul Mutaalimin,Desa Babakan Sari Kec.Bantarujeg,
Yayasan Al-Ikhsan,Desa Girimulya Kec.Banjaran,0813 2038 8168
Ponpes Al Fauzul Adzim,Rt.05 Rw.01 Desa Maracang Kec.Babakan Cikao,
Ponpes Al Irfan,Jl.Station Ciganea Rt.07 Rw 03 Desa Mekar Gali Kec. Jatiluhur,
Yayasan Ikhlas Karya Utama,"Babakan Tanjung RT 08/03 Ds. Cikaum Timur, Kec. Cikaum",
Pondok Pesantren Al-Wutsqo,Jl. Panembong RT. 06/02 Desa Tenjolaya Kec. Kasomalang,0260 471565
Yayasan Hadin Al Musri,"Ponp Katomas RT. 11/04 Sumbersarai Kec. Pagaden, Kab, Subang",0260 451160
Yayasan Peduli Bina Muda Madani,Kp. Pasir Haur RT. 03/03 Ds. Cihamerang Kec. Kabandungan,
Pondok Pesantren Darul Falah,Ds. Bakanjati,085222072393
Pondok Pesantren Al Istiqomah Yayasan Al Maqshudiy,Ds. Cilimbangan RT. 02/06,081321852374
Pondok Pesantren Masyaul Hikam,Dusun Cipatat RT/RW. 02/01 Desa Sekarwangi Kec. Buahdua Kab. Sumedang,0815 7367 2650
Ponpes Khoirul Usroh,Kel.Talun Kec.Sumedang Utara,0261 202937
Yayasan Al Munawaroh,Kp.Cideres Desa Sukamenak Kec.Sukaresik,0813 23222 944
Yayasan Ponpes Nurul Huda,"Ds. Sirukem, Kec. Kalibening, Kab. Banjarnegara",085227354499
Yayasan Ponpes Nurul Quran,"Ds. Danakerta, Kec. Punggelan, Kab. Banjarnegara",081327176384
Yayasan Al Mukmin Pondok Pesantren Nurul Dholam,"Desa Banjiran, Kec. Warungasem",0285 4417661
Yayssan Al Amin,Cangkringrembang,
Ponpes Annuroniyyatul Quraniyyah,Jl. Mesjid Jakenan,
Pondok Pesantren Darus Sholihin,"Desa Kwadungan RT. 04/3, Kec. Kerjo, Kab. Karanganyar, Jatenf 57753",0813 2935 0325
Yayasan GIA Gening,Tromol Pos 04 Juwana,08122918693
Yayasan Pelita Desa Pondok Pesantren Nurul Huda,"Jl. Raya Tayu-Jepara Km. 18, Desa Sirahan, Kec. Cluwak, Kab. Pati",-
Yayasan Ponpes Nurul Agil,"Praan, Ds. Salakbrojo, Kec. Kedungwuni, Kab. Pekalongan",-
Pondok Pesantren Al Ihsan,Dukuh Rejomulyo Desa Tundagan Kec. Watukumpul,
Yayasan Islam Al-Falah,Gang Nanas RT 02/RW 01 Ds. Ponjen Kec. Karanganyar 53354,(0281) 7639929-081905100491
Pondok Pesantren Al Husaini,"Jl. Ponpes Al Husaini 1-2 Majasen, Kec. Kemangkon",0813 27424902
Yys. Hasyim Asyari Ponpes Putri Al Khoiriyah,"Jl. Tunjungsari, Kec. Karangmoncol, Kab. Purbalingga",0281-621378
YPI. Ponpes Manbaul Ilmin Nafi,"Jl.Kalipang Lodan, Gunungmulyo, Kec. Sarang, Kab. Rembang",-
Ponpes Putra-Putri Tahfidhul Quran Al Furqon,"Ds./Kec. Sedan, Kab. Rembang",-
Pondok Pesantren Al Fadlil,Jl.KH.Misbah Poncol Desa Popongan Kec.Bringin,0815 75111660
Ponpes Al Hamidiyah,Desa Banding RT 03 RW 01 Kecamatan Bringin,-
Lembaga Pondok Pesantren Salafiyah (LPPS) Al-Istiq,Dsn Talun Desa Candi Kec.Bandungan,0852 90427247
Yayasan Izzatul Islam,"Pongangan, Ds.Samirono Kec. Getasan",0813 2522 4074
Yayasan Pendidikan Islam Nuril Huda,Desa Losari Kec.Sumowono,0852 2589 3452
Ponpes Putra-Putri Khufadl Manbaul Hidayah,"Bakalan, Ds. Sidoharjo, Kec. Bawang, kab. Batang",
Ponpes Roudlotul Ummah Essalafy,"Glondong, Ds. Tanjungsari, Kec. Kradenan, Kab. Grobogan","081325668563, 085290696710"
Ponpes Salafiyah Al-Hakim Al-Fitroh,Desa Lebak Rt.5 Rw.2 Pakis Aji Jepara,08122 527 563
Ponpes Mambaul Huda,"Sangen, Ds./Kec.  Jatipuro, Kab. Karanganyar",_
"Yayasan Roudlotul Arifiyah, Pondok Pesantren Roudl","Desa Trikoyo, Kec. Jaken, Kab. Pati, Jateng 59184",0852 225 455 629
LM3 Alfa Mandiri Ponpes Al-Falah,"Jl. Raya Moga-Guci Km 0,5 Banyumudal-Moga 52354",(0284) 583371-081911530012
Yayasan Khalimatus Sadiyah,Desa Karangsari Kec. Pulosari,
Ponpes Zainul Mubarok,"Ds. Sayung, Kec. Sayung, Kab. Demak",081225572220
Pondok Pesantren Tahfidzul Quran Darussalam,Dukuh Batursari Desa Damarjati Kec. Kalinyamatan Kab.Jepara,_
Ponpes Salafiyah Syafiiyah,"Ds. Proto, Kec. Kedungwuni, Kab. Pekalongan",0285-7943006
Yayasan Ponpes Terpadu Sunan Al Anbiya,"Ds. Gondang, Kec. Taman, Kab. Pemalang",081310804684
YPSDI Tsamrotul Fuad,Jl. Serayu No.70 Kebon Dalem,0284322398
Yayasan Masyithoh,Jl. K. Asyari Tingkir Lor,
Vihara Annathapindhika,Dusun Candi Desa Candigaron Kec.Sumowono,-
Pondok Pesantren Al Itiqon,"Jl. Abdul Ghoni, Banjarsari, Padangsari, Majenang,",HP  085227054103
Yayasan Pendidikan Ar Rohman,"Desa Gebang Rt.02/01 Kec. Bonang, Kab. Demak, Jawa Tengah",HP  08882549572
Pondok Pesantren Miftahul Jannah,Ds Mlaten Kec Mijen Kab Demak 59583,8174177252
Pondok Pesantren Salafiyah Syafiiyah,"Dusun Dileman, Desa Kalegen, Kec. Bandongan, Kab. Magelang,",HP  081903837611
Pondok Pesantren Sirojul Muhtadin,"Desa Kalimulyo Rt.01/01, Kec. Jakenan, Kab, Pati, Jawa Tengah",
Pondok Pesantren Anwarul Falah,"Kec. Banyu Urip Kab. Purworejo, Jateng,",85228403355
Pondok Pesantren Alhamidiyyah,"Soditan Lasem Rembang, Jateng,",0815 6666 181
Pondok Pesantren Mahadil Ulumis Sariyah,"Desa Karangmangu, Kec. Sarang, Kab. Rembang,",HP  081331996018
Pondok Pesantren Al Ittihad,"Jl. H. Misbah Poncol, Pompongan, Kec. Beringin, Kab. Semarang, HP. 081575111660",0298-7102110
